507,6,391,3590,13,17,291,28,YES,NO,YES,YES,NO,YES,1:/LICENSE 1:/scripts/git-hooks/commit-msg 1:/scripts/git-hooks/pre-commit 10:css 1:editorconfig 1:git-blame-ignore-revs 1:git/HEAD 1:git/config 1:git/description 1:git/index 1:git/info/exclude 1:git/logs/HEAD 1:git/logs/refs/heads/main 1:git/logs/refs/remotes/origin/HEAD 1:git/packed-refs 1:git/refs/heads/main 1:git/refs/remotes/origin/HEAD 1:gitignore 24:html 2:idx 36:js 17:json 11:md 2:mjs 2:pack 1:png 1:prettierrc 2:promisor 13:sample 2:snap 388:ts 3:tsx 1:woff2 2:yaml 4:yml
15,6,441,1671,569,4,0,592,YES,NO,NO,YES,NO,YES,1:/LICENSE 1:/Makefile 1:/docs/CNAME 1:css 1:git/HEAD 1:git/config 1:git/description 1:git/index 1:git/info/exclude 1:git/logs/HEAD 1:git/logs/refs/heads/master 1:git/logs/refs/remotes/origin/HEAD 1:git/packed-refs 1:git/refs/heads/master 1:git/refs/remotes/origin/HEAD 1:gitignore 2:idx 5:md 2:pack 2:promisor 1:py 13:sample 1:txt 3:yml
0,6,4295,162301,13186,443,208,0,NO,NO,NO,NO,NO,NO,1:git/HEAD 1:git/config 1:git/description 1:git/info/exclude 1:git/logs/HEAD 1:git/logs/refs/heads/master 1:git/logs/refs/remotes/origin/HEAD 1:git/objects/pack/tmp_pack_h3PH2L 1:git/packed-refs 1:git/refs/heads/master 1:git/refs/remotes/origin/HEAD 2:idx 2:pack 2:promisor 13:sample
647,6,208,1104,37,3,0,12,YES,NO,YES,YES,NO,NO,1:/LICENSE 1:babelrc 1:editorconfig 1:eslintrc 1:git/HEAD 1:git/config 1:git/description 1:git/index 1:git/info/exclude 1:git/logs/HEAD 1:git/logs/refs/heads/master 1:git/logs/refs/remotes/origin/HEAD 1:git/packed-refs 1:git/refs/heads/master 1:git/refs/remotes/origin/HEAD 2:gitignore 1:husky/pre-commit 2:idx 12:jpeg 9:jpg 357:js 2:json 245:md 1:npmrc 1:nvmrc 2:pack 11:png 2:promisor 13:sample 2:yml
1409,6,1208,3323,316,8,0,11,YES,NO,NO,YES,NO,NO,2:DISABLED 2:csv 1:devcontainer/Dockerfile 1:git/HEAD 1:git/config 1:git/description 1:git/index 1:git/info/exclude 1:git/logs/HEAD 1:git/logs/refs/heads/master 1:git/logs/refs/remotes/origin/HEAD 1:git/packed-refs 1:git/refs/heads/master 1:git/refs/remotes/origin/HEAD 1:gitattributes 1:github/CODEOWNERS 1:gitignore 2:idx 1:ini 9:jpg 4:json 26:md 2:pack 4:png 2:promisor 1297:py 1:py_tf 13:sample 1:toml 46:txt 1:yaml 11:yml
81,6,211,1896,303,8,0,20,YES,NO,NO,YES,NO,YES,1:editorconfig 1:git/HEAD 1:git/config 1:git/description 1:git/index 1:git/info/exclude 1:git/logs/HEAD 1:git/logs/refs/heads/2nd-ed 1:git/logs/refs/remotes/origin/HEAD 1:git/packed-refs 1:git/refs/heads/2nd-ed 1:git/refs/remotes/origin/HEAD 2:idx 55:md 2:pack 14:png 2:promisor 13:sample 10:svg 1:txt
2555,7,246,3781,588,3,0,55,YES,NO,NO,NO,NO,NO,1:/docs/_style/prism-master/CNAME 1:/docs/_style/prism-master/LICENSE 18:css 1:editorconfig 64:gif 1:git/HEAD 1:git/config 1:git/description 1:git/index 1:git/info/exclude 1:git/logs/HEAD 1:git/logs/refs/heads/master 1:git/logs/refs/remotes/origin/HEAD 1:git/packed-refs 1:git/refs/heads/master 1:git/refs/remotes/origin/HEAD 1:gitattributes 2:gitignore 183:html 2:idx 140:jpg 378:js 4:json 183:md 1:nojekyll 1:npmignore 2:pack 432:png 2:promisor 13:sample 1:svg 1143:test 1:yml
6,6,1329,6538,1608,3,1,2488,YES,NO,NO,NO,NO,YES,1:/LICENSE 1:git/HEAD 1:git/config 1:git/description 1:git/index 1:git/info/exclude 1:git/logs/HEAD 1:git/logs/refs/heads/master 1:git/logs/refs/remotes/origin/HEAD 1:git/packed-refs 1:git/refs/heads/master 1:git/refs/remotes/origin/HEAD 2:idx 4:md 2:pack 1:png 2:promisor 13:sample
75600,8,5352,35221,4499,7,0,181,YES,NO,YES,YES,NO,YES,1:/docker/api/Dockerfile 1:/docker/new-api/Dockerfile 1:/docker/web/Dockerfile 1:Dockerfile 1:babelrc 71:css 1:devcontainer/Dockerfile 1:dockerignore 1:editorconfig 5:ejs 3:env 1:eot 1:eslintignore 1:git/HEAD 1:git/config 1:git/description 1:git/index 1:git/info/exclude 1:git/logs/HEAD 1:git/logs/refs/heads/main 1:git/logs/refs/remotes/origin/HEAD 1:git/packed-refs 1:git/refs/heads/main 1:git/refs/remotes/origin/HEAD 1:gitattributes 1:github/CODEOWNERS 7:gitignore 1:gitkeep 3:html 1:husky/pre-commit 3:idx 249:js 375:json 1:jsonc 1:jsx 1:less 73824:md 1:npmrc 3:pack 5:png 1:prettierignore 1:prettierrc 2:prisma 3:promisor 13:sample 4:sh 18:snap 7:svg 382:ts 286:tsx 1:ttf 14:txt 1:well-known/apple-developer-merchantid-domain-association 20:woff 5:woff2 5:yaml 293:yml
75600,8,5352,35221,4499,7,0,181,YES,NO,YES,YES,NO,YES,1:/docker/api/Dockerfile 1:/docker/new-api/Dockerfile 1:/docker/web/Dockerfile 1:Dockerfile 1:babelrc 71:css 1:devcontainer/Dockerfile 1:dockerignore 1:editorconfig 5:ejs 3:env 1:eot 1:eslintignore 1:git/HEAD 1:git/config 1:git/description 1:git/index 1:git/info/exclude 1:git/logs/HEAD 1:git/logs/refs/heads/main 1:git/logs/refs/remotes/origin/HEAD 1:git/packed-refs 1:git/refs/heads/main 1:git/refs/remotes/origin/HEAD 1:gitattributes 1:github/CODEOWNERS 7:gitignore 1:gitkeep 3:html 1:husky/pre-commit 3:idx 249:js 375:json 1:jsonc 1:jsx 1:less 73824:md 1:npmrc 3:pack 5:png 1:prettierignore 1:prettierrc 2:prisma 3:promisor 13:sample 4:sh 18:snap 7:svg 382:ts 286:tsx 1:ttf 14:txt 1:well-known/apple-developer-merchantid-domain-association 20:woff 5:woff2 5:yaml 293:yml
75600,8,5352,35221,4499,7,0,181,YES,NO,YES,YES,NO,YES,1:/docker/api/Dockerfile 1:/docker/new-api/Dockerfile 1:/docker/web/Dockerfile 1:Dockerfile 1:babelrc 71:css 1:devcontainer/Dockerfile 1:dockerignore 1:editorconfig 5:ejs 3:env 1:eot 1:eslintignore 1:git/HEAD 1:git/config 1:git/description 1:git/index 1:git/info/exclude 1:git/logs/HEAD 1:git/logs/refs/heads/main 1:git/logs/refs/remotes/origin/HEAD 1:git/packed-refs 1:git/refs/heads/main 1:git/refs/remotes/origin/HEAD 1:gitattributes 1:github/CODEOWNERS 7:gitignore 1:gitkeep 3:html 1:husky/pre-commit 1:idx 249:js 375:json 1:jsonc 1:jsx 1:less 73824:md 1:npmrc 1:pack 5:png 1:prettierignore 1:prettierrc 2:prisma 13:sample 4:sh 18:snap 7:svg 382:ts 286:tsx 1:ttf 14:txt 1:well-known/apple-developer-merchantid-domain-association 20:woff 5:woff2 5:yaml 293:yml
0,6,3093,9163,1590,34,0,0,NO,NO,NO,NO,NO,NO,1:git/HEAD 1:git/config 1:git/description 1:git/info/exclude 1:git/logs/HEAD 1:git/logs/refs/heads/main 1:git/logs/refs/remotes/origin/HEAD 1:git/packed-refs 1:git/refs/heads/main 1:git/refs/remotes/origin/HEAD 1:idx 1:pack 1:promisor 13:sample
23,6,631,1128,155,4,0,0,NO,NO,NO,NO,NO,NO,1:/license 2:ai 1:editorconfig 1:git/HEAD 1:git/config 1:git/description 1:git/index 1:git/info/exclude 1:git/logs/HEAD 1:git/logs/refs/heads/main 1:git/logs/refs/remotes/origin/HEAD 1:git/packed-refs 1:git/refs/heads/main 1:git/refs/remotes/origin/HEAD 1:gitattributes 1:idx 7:md 1:pack 2:png 13:sample 1:sh 1:sketch 6:svg 1:yml
